VehicleTask,From,Start,End,To,Distance,VehGrp,Type,Composition & Order,Direction
M009-003/A,RemWhv,05:36,26:02;45,RemWhv,644.457,MBOB,Pull-in,"M009-003/A,M009-003/B,M009-003/C",WHV1
M009-003/B,RemWhv,05:36,26:02;45,RemWhv,644.457,MBOB,Pull-out,"M009-003/A,M009-003/B,M009-003/C",WHV2
M009-003/B,RemWhv,05:36,26:02;45,RemWhv,644.457,MBOB,Pull-in,"M009-003/A,M009-003/B,M009-003/C",WHV1
M009-003/C,RemWhv,05:36,26:02;45,RemWhv,644.457,MBOB,Pull-out,"M009-003/A,M009-003/B,M009-003/C",WHV2
M009-003/C,RemWhv,05:36,26:02;45,RemWhv,644.457,MBOB,Pull-in,"M009-003/A,M009-003/B,M009-003/C",WHV1
M009-004/A,AksP13,05:40,09:26,RemWhv,117.362,MBOB,Pull-out,"M009-004/A,M009-004/B,M009-004/C",AKS
M009-004/A,AksP13,05:40,09:26,RemWhv,117.362,MBOB,Pull-in,"M009-004/C,M009-004/B,M009-004/A",AKS
M009-004/B,AksP13,05:40,09:26,RemWhv,117.362,MBOB,Pull-out,"M009-004/A,M009-004/B,M009-004/C",AKS
M009-004/B,AksP13,05:40,09:26,RemWhv,117.362,MBOB,Pull-in,"M009-004/C,M009-004/B,M009-004/A",AKS
M009-004/C,AksP13,05:40,09:26,RemWhv,117.362,MBOB,Pull-out,"M009-004/A,M009-004/B,M009-004/C",AKS
M009-004/C,AksP13,05:40,09:26,RemWhv,117.362,MBOB,Pull-in,"M009-004/C,M009-004/B,M009-004/A",AKS
M009-005/A,RemWhv,5:41;30,25:59;45,AksP13,630.788,MBOB,Pull-out,"M009-005/A,M009-005/B,M009-005/C",WHV1
M009-005/A,RemWhv,5:41;30,25:59;45,AksP13,630.788,MBOB,Pull-in,"M009-005/C,M009-005/B,M009-005/A",WHV1
M009-005/B,RemWhv,5:41;30,25:59;45,AksP13,630.788,MBOB,Pull-out,"M009-005/A,M009-005/B,M009-005/C",WHV1
M009-005/B,RemWhv,5:41;30,25:59;45,AksP13,630.788,MBOB,Pull-in,"M009-005/C,M009-005/B,M009-005/A",WHV1
M009-005/C,RemWhv,5:41;30,25:59;45,AksP13,630.788,MBOB,Pull-out,"M009-005/A,M009-005/B,M009-005/C",WHV1
M009-005/C,RemWhv,5:41;30,25:59;45,AksP13,630.788,MBOB,Pull-in,"M009-005/C,M009-005/B,M009-005/A",WHV1
M009-006/A,RemWhv,5:51;15,9:50;15,RemWhv,131.147,MBOB,Pull-out,"M009-006/A,M009-006/B,M009-006/C",WHV2
M009-006/A,RemWhv,5:51;15,9:50;15,RemWhv,131.147,MBOB,Pull-in,"M009-006/A,M009-006/B,M009-006/C",WHV1
M009-006/B,RemWhv,5:51;15,9:50;15,RemWhv,131.147,MBOB,Pull-out,"M009-006/A,M009-006/B,M009-006/C",WHV2
M009-006/B,RemWhv,5:51;15,9:50;15,RemWhv,131.147,MBOB,Pull-in,"M009-006/A,M009-006/B,M009-006/C",WHV1
