VehicleTask,From,Start,End,To,Distance,VehGrp,Type,Composition & Order,Direction
M008-082/B,RemGvw,7:44;15,24:24;30,AksP11,565.729,MBOS,Pull-in,"M008-082/A,M008-082/B,M008-082/C",CPB
M008-082/C,RemGvw,7:44;15,24:24;30,AksP11,565.729,MBOS,Pull-out,"M008-082/A,M008-082/B,M008-082/C",KLZ2
M008-082/C,RemGvw,7:44;15,24:24;30,AksP11,565.729,MBOS,Pull-in,"M008-082/A,M008-082/B,M008-082/C",CPB
M008-083/A,AksP14,7:46;30,24:36;45,RemGvw,574.087,MBOB,Pull-out,"M008-083/A,M008-083/B,M008-083/C",AKS
M008-083/A,AksP14,7:46;30,24:36;45,RemGvw,574.087,MBOB,Pull-in,"M008-083/C,M008-083/B,M008-083/A",AKS
M008-083/B,AksP14,7:46;30,24:36;45,RemGvw,574.087,MBOB,Pull-out,"M008-083/A,M008-083/B,M008-083/C",AKS
M008-083/B,AksP14,7:46;30,24:36;45,RemGvw,574.087,MBOB,Pull-in,"M008-083/C,M008-083/B,M008-083/A",AKS
M008-083/C,AksP14,7:46;30,24:36;45,RemGvw,574.087,MBOB,Pull-out,"M008-083/A,M008-083/B,M008-083/C",AKS
M008-083/C,AksP14,7:46;30,24:36;45,RemGvw,574.087,MBOB,Pull-in,"M008-083/C,M008-083/B,M008-083/A",AKS
M008-084/A,RemGvw,7:58;30,24:54;30,AksP14,573.493,MBOB,Pull-out,"M008-084/A,M008-084/B,M008-084/C",CPB
M008-084/A,RemGvw,7:58;30,24:54;30,AksP14,573.493,MBOB,Pull-in,"M008-084/C,M008-084/B,M008-084/A",CPB
M008-084/B,RemGvw,7:58;30,24:54;30,AksP14,573.493,MBOB,Pull-out,"M008-084/A,M008-084/B,M008-084/C",CPB
M008-084/B,RemGvw,7:58;30,24:54;30,AksP14,573.493,MBOB,Pull-in,"M008-084/C,M008-084/B,M008-084/A",CPB
M008-084/C,RemGvw,7:58;30,24:54;30,AksP14,573.493,MBOB,Pull-out,"M008-084/A,M008-084/B,M008-084/C",CPB
M008-084/C,RemGvw,7:58;30,24:54;30,AksP14,573.493,MBOB,Pull-in,"M008-084/C,M008-084/B,M008-084/A",CPB
M008-085/A,AksP14,8:01;30,24:51;45,RemGvw,574.087,MBOB,Pull-out,"M008-085/A,M008-085/B,M008-085/C",AKS
M008-085/A,AksP14,8:01;30,24:51;45,RemGvw,574.087,MBOB,Pull-in,"M008-085/C,M008-085/B,M008-085/A",AKS
