VehicleTask,From,Start,End,To,Distance,VehGrp,Type,Composition & Order,Direction
M008-086/A,AksP14,7:01;30,24:24;30,AksP14,600.7,MBOB,Pull-out,"M008-086/A,M008-086/B,M008-086/C",AKS
M008-086/A,AksP14,7:01;30,24:24;30,AksP14,600.7,MBOB,Pull-in,"M008-086/C,M008-086/B,M008-086/A",AKS
M008-086/B,AksP14,7:01;30,24:24;30,AksP14,600.7,MBOB,Pull-out,"M008-086/A,M008-086/B,M008-086/C",AKS
M008-086/B,AksP14,7:01;30,24:24;30,AksP14,600.7,MBOB,Pull-in,"M008-086/C,M008-086/B,M008-086/A",AKS
M008-086/C,AksP14,7:01;30,24:24;30,AksP14,600.7,MBOB,Pull-out,"M008-086/A,M008-086/B,M008-086/C",AKS
M008-086/C,AksP14,7:01;30,24:24;30,AksP14,600.7,MBOB,Pull-in,"M008-086/C,M008-086/B,M008-086/A",AKS
M008-087/A,AksP11,7:16;30,24:39;30,AksP11,600.34,MBOS,Pull-out,"M008-087/A,M008-087/B,M008-087/C",AKS
M008-087/A,AksP11,7:16;30,24:39;30,AksP11,600.34,MBOS,Pull-in,"M008-087/C,M008-087/B,M008-087/A",AKS
M008-087/B,AksP11,7:16;30,24:39;30,AksP11,600.34,MBOS,Pull-out,"M008-087/A,M008-087/B,M008-087/C",AKS
M008-087/B,AksP11,7:16;30,24:39;30,AksP11,600.34,MBOS,Pull-in,"M008-087/C,M008-087/B,M008-087/A",AKS
M008-087/C,AksP11,7:16;30,24:39;30,AksP11,600.34,MBOS,Pull-out,"M008-087/A,M008-087/B,M008-087/C",AKS
M008-087/C,AksP11,7:16;30,24:39;30,AksP11,600.34,MBOS,Pull-in,"M008-087/C,M008-087/B,M008-087/A",AKS
M008-088/A,RemGvw,11:03;45,18:12,RemGvw,247.205,MBOS,Pull-out,"M008-088/A,M008-088/B,M008-088/C",CPB
M008-088/A,RemGvw,11:03;45,18:12,RemGvw,247.205,MBOS,Pull-in,"M008-088/C,M008-088/B,M008-088/A",CPB
M008-088/B,RemGvw,11:03;45,18:12,RemGvw,247.205,MBOS,Pull-out,"M008-088/A,M008-088/B,M008-088/C",CPB
M008-088/B,RemGvw,11:03;45,18:12,RemGvw,247.205,MBOS,Pull-in,"M008-088/C,M008-088/B,M008-088/A",CPB
M008-088/C,RemGvw,11:03;45,18:12,RemGvw,247.205,MBOS,Pull-out,"M008-088/A,M008-088/B,M008-088/C",CPB
M008-088/C,RemGvw,11:03;45,18:12,RemGvw,247.205,MBOS,Pull-in,"M008-088/C,M008-088/B,M008-088/A",CPB
M008-089/A,RemGvw,11:04,24:51;45,RemGvw,479.192,MBOS,Pull-out,"M008-089/A,M008-089/B,M008-089/C",KLZ2
M008-089/A,RemGvw,11:04,24:51;45,RemGvw,479.192,MBOS,Pull-in,"M008-089/A,M008-089/B,M008-089/C",CPB
M008-089/B,RemGvw,11:04,24:51;45,RemGvw,479.192,MBOS,Pull-out,"M008-089/A,M008-089/B,M008-089/C",KLZ2
M008-089/B,RemGvw,11:04,24:51;45,RemGvw,479.192,MBOS,Pull-in,"M008-089/A,M008-089/B,M008-089/C",CPB
M008-089/C,RemGvw,11:04,24:51;45,RemGvw,479.192,MBOS,Pull-out,"M008-089/A,M008-089/B,M008-089/C",KLZ2
M008-089/C,RemGvw,11:04,24:51;45,RemGvw,479.192,MBOS,Pull-in,"M008-089/A,M008-089/B,M008-089/C",CPB
M008-090/A,AksP14,11:06;45,25:34;45,RemGvw,504.853,MBOB,Pull-out,"M008-090/A,M008-090/B,M008-090/C",AKS
M008-090/A,AksP14,11:06;45,25:34;45,RemGvw,504.853,MBOB,Pull-in,"M008-090/C,M008-090/B,M008-090/A",AKS
M008-090/B,AksP14,11:06;45,25:34;45,RemGvw,504.853,MBOB,Pull-out,"M008-090/A,M008-090/B,M008-090/C",AKS
M008-090/B,AksP14,11:06;45,25:34;45,RemGvw,504.853,MBOB,Pull-in,"M008-090/C,M008-090/B,M008-090/A",AKS
M008-090/C,AksP14,11:06;45,25:34;45,RemGvw,504.853,MBOB,Pull-out,"M008-090/A,M008-090/B,M008-090/C",AKS
M008-090/C,AksP14,11:06;45,25:34;45,RemGvw,504.853,MBOB,Pull-in,"M008-090/C,M008-090/B,M008-090/A",AKS
M009-001/A,RemWhv,6:05;30,24:15;15,AksP13,545.211,MBOB,Pull-out,"M009-001/A,M009-001/B,M009-001/C",WHV1
M009-001/A,RemWhv,6:05;30,24:15;15,AksP13,545.211,MBOB,Pull-in,"M009-001/C,M009-001/B,M009-001/A",WHV1
M009-001/B,RemWhv,6:05;30,24:15;15,AksP13,545.211,MBOB,Pull-out,"M009-001/A,M009-001/B,M009-001/C",WHV1
M009-001/B,RemWhv,6:05;30,24:15;15,AksP13,545.211,MBOB,Pull-in,"M009-001/C,M009-001/B,M009-001/A",WHV1
M009-001/C,RemWhv,6:05;30,24:15;15,AksP13,545.211,MBOB,Pull-out,"M009-001/A,M009-001/B,M009-001/C",WHV1
M009-001/C,RemWhv,6:05;30,24:15;15,AksP13,545.211,MBOB,Pull-in,"M009-001/C,M009-001/B,M009-001/A",WHV1
M009-002/A,RemWhv,6:20;30,25:59;45,AksP13,587.978,MBOB,Pull-out,"M009-002/A,M009-002/B,M009-002/C",WHV1
M009-002/A,RemWhv,6:20;30,25:59;45,AksP13,587.978,MBOB,Pull-in,"M009-002/C,M009-002/B,M009-002/A",WHV1
M009-002/B,RemWhv,6:20;30,25:59;45,AksP13,587.978,MBOB,Pull-out,"M009-002/A,M009-002/B,M009-002/C",WHV1
M009-002/B,RemWhv,6:20;30,25:59;45,AksP13,587.978,MBOB,Pull-in,"M009-002/C,M009-002/B,M009-002/A",WHV1
M009-002/C,RemWhv,6:20;30,25:59;45,AksP13,587.978,MBOB,Pull-out,"M009-002/A,M009-002/B,M009-002/C",WHV1
M009-002/C,RemWhv,6:20;30,25:59;45,AksP13,587.978,MBOB,Pull-in,"M009-002/C,M009-002/B,M009-002/A",WHV1
M009-003/A,RemWhv,6:35;30,18:44;45,AksP13,374.101,MBOB,Pull-out,"M009-003/A,M009-003/B,M009-003/C",WHV1
M009-003/A,RemWhv,6:35;30,18:44;45,AksP13,374.101,MBOB,Pull-in,"M009-003/C,M009-003/B,M009-003/A",WHV1
M009-003/B,RemWhv,6:35;30,18:44;45,AksP13,374.101,MBOB,Pull-out,"M009-003/A,M009-003/B,M009-003/C",WHV1
M009-003/B,RemWhv,6:35;30,18:44;45,AksP13,374.101,MBOB,Pull-in,"M009-003/C,M009-003/B,M009-003/A",WHV1
M009-003/C,RemWhv,6:35;30,18:44;45,AksP13,374.101,MBOB,Pull-out,"M009-003/A,M009-003/B,M009-003/C",WHV1
M009-003/C,RemWhv,6:35;30,18:44;45,AksP13,374.101,MBOB,Pull-in,"M009-003/C,M009-003/B,M009-003/A",WHV1
M009-004/A,RemWhv,6:36;45,25:43;30,RemWhv,581.782,MSG3,Pull-out,"M009-004/A,M009-004/B",WHV2
M009-004/A,RemWhv,6:36;45,25:43;30,RemWhv,581.782,MSG3,Pull-in,"M009-004/B,M009-004/A",WHV2
M009-004/B,RemWhv,6:36;45,25:43;30,RemWhv,581.782,MSG3,Pull-out,"M009-004/A,M009-004/B",WHV2
