VehicleTask,From,Start,End,To,Distance,VehGrp,Type,Composition & Order,Direction
M008-084/B,AksP14,5:43;30,24:39;30,AksP14,660.646,MBOB,Pull-out,"M008-084/A,M008-084/B,M008-084/C",AKS
M008-084/B,AksP14,5:43;30,24:39;30,AksP14,660.646,MBOB,Pull-in,"M008-084/C,M008-084/B,M008-084/A",AKS
M008-084/C,AksP14,5:43;30,24:39;30,AksP14,660.646,MBOB,Pull-out,"M008-084/A,M008-084/B,M008-084/C",AKS
M008-084/C,AksP14,5:43;30,24:39;30,AksP14,660.646,MBOB,Pull-in,"M008-084/C,M008-084/B,M008-084/A",AKS
M008-085/A,RemGvw,5:56,19:41;45,RemGvw,486.956,MBOS,Pull-out,"M008-085/A,M008-085/B,M008-085/C",CPB
M008-085/A,RemGvw,5:56,19:41;45,RemGvw,486.956,MBOS,Pull-in,"M008-085/C,M008-085/B,M008-085/A",CPB
M008-085/B,RemGvw,5:56,19:41;45,RemGvw,486.956,MBOS,Pull-out,"M008-085/A,M008-085/B,M008-085/C",CPB
M008-085/B,RemGvw,5:56,19:41;45,RemGvw,486.956,MBOS,Pull-in,"M008-085/C,M008-085/B,M008-085/A",CPB
M008-085/C,RemGvw,5:56,19:41;45,RemGvw,486.956,MBOS,Pull-out,"M008-085/A,M008-085/B,M008-085/C",CPB
M008-085/C,RemGvw,5:56,19:41;45,RemGvw,486.956,MBOS,Pull-in,"M008-085/C,M008-085/B,M008-085/A",CPB
M008-086/A,RemGvw,6:01;15,24:24;30,AksP11,635.947,MBOS,Pull-out,"M008-086/A,M008-086/B,M008-086/C",KLZ2
M008-086/A,RemGvw,6:01;15,24:24;30,AksP11,635.947,MBOS,Pull-in,"M008-086/A,M008-086/B,M008-086/C",CPB
M008-086/B,RemGvw,6:01;15,24:24;30,AksP11,635.947,MBOS,Pull-out,"M008-086/A,M008-086/B,M008-086/C",KLZ2
M008-086/B,RemGvw,6:01;15,24:24;30,AksP11,635.947,MBOS,Pull-in,"M008-086/A,M008-086/B,M008-086/C",CPB
M008-086/C,RemGvw,6:01;15,24:24;30,AksP11,635.947,MBOS,Pull-out,"M008-086/A,M008-086/B,M008-086/C",KLZ2
M008-086/C,RemGvw,6:01;15,24:24;30,AksP11,635.947,MBOS,Pull-in,"M008-086/A,M008-086/B,M008-086/C",CPB
M008-087/A,AksP11,6:13;30,24:21;45,RemGvw,633.684,MBOS,Pull-out,"M008-087/A,M008-087/B,M008-087/C",AKS
M008-087/A,AksP11,6:13;30,24:21;45,RemGvw,633.684,MBOS,Pull-in,"M008-087/C,M008-087/B,M008-087/A",AKS
M008-087/B,AksP11,6:13;30,24:21;45,RemGvw,633.684,MBOS,Pull-out,"M008-087/A,M008-087/B,M008-087/C",AKS
M008-087/B,AksP11,6:13;30,24:21;45,RemGvw,633.684,MBOS,Pull-in,"M008-087/C,M008-087/B,M008-087/A",AKS
M008-087/C,AksP11,6:13;30,24:21;45,RemGvw,633.684,MBOS,Pull-out,"M008-087/A,M008-087/B,M008-087/C",AKS
M008-087/C,AksP11,6:13;30,24:21;45,RemGvw,633.684,MBOS,Pull-in,"M008-087/C,M008-087/B,M008-087/A",AKS
M008-088/A,AksP14,6:36;45,24:36;45,RemGvw,634.046,MBOB,Pull-out,"M008-088/A,M008-088/B,M008-088/C",AKS
M008-088/A,AksP14,6:36;45,24:36;45,RemGvw,634.046,MBOB,Pull-in,"M008-088/C,M008-088/B,M008-088/A",AKS
M008-088/B,AksP14,6:36;45,24:36;45,RemGvw,634.046,MBOB,Pull-out,"M008-088/A,M008-088/B,M008-088/C",AKS
M008-088/B,AksP14,6:36;45,24:36;45,RemGvw,634.046,MBOB,Pull-in,"M008-088/C,M008-088/B,M008-088/A",AKS
M008-088/C,AksP14,6:36;45,24:36;45,RemGvw,634.046,MBOB,Pull-out,"M008-088/A,M008-088/B,M008-088/C",AKS
M008-088/C,AksP14,6:36;45,24:36;45,RemGvw,634.046,MBOB,Pull-in,"M008-088/C,M008-088/B,M008-088/A",AKS
M008-089/A,RemGvw,6:37;30,19:30;15,AksP14,453.643,MBOB,Pull-out,"M008-089/A,M008-089/B,M008-089/C",CPB
M008-089/A,RemGvw,6:37;30,19:30;15,AksP14,453.643,MBOB,Pull-in,"M008-089/C,M008-089/B,M008-089/A",CPB
M008-089/B,RemGvw,6:37;30,19:30;15,AksP14,453.643,MBOB,Pull-out,"M008-089/A,M008-089/B,M008-089/C",CPB
M008-089/B,RemGvw,6:37;30,19:30;15,AksP14,453.643,MBOB,Pull-in,"M008-089/C,M008-089/B,M008-089/A",CPB
M008-089/C,RemGvw,6:37;30,19:30;15,AksP14,453.643,MBOB,Pull-out,"M008-089/A,M008-089/B,M008-089/C",CPB
M008-089/C,RemGvw,6:37;30,19:30;15,AksP14,453.643,MBOB,Pull-in,"M008-089/C,M008-089/B,M008-089/A",CPB
M008-090/A,AksP14,7:06;45,25:04;15,RemGvw,634.057,MBOB,Pull-out,"M008-090/A,M008-090/B,M008-090/C",AKS
M008-090/A,AksP14,7:06;45,25:04;15,RemGvw,634.057,MBOB,Pull-in,"M008-090/C,M008-090/B,M008-090/A",AKS
M008-090/B,AksP14,7:06;45,25:04;15,RemGvw,634.057,MBOB,Pull-out,"M008-090/A,M008-090/B,M008-090/C",AKS
